Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played,Year
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Team Secret,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Team Secret,killjoy,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Team Secret,skye,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Talon Esports,omen,0,2,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Talon Esports,viper,0,2,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Talon Esports,raze,0,2,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Talon Esports,killjoy,0,2,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Talon Esports,fade,0,2,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,T1,omen,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,T1,viper,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,T1,raze,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,T1,fade,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,T1,chamber,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,DRX,omen,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,DRX,viper,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,DRX,raze,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,DRX,killjoy,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,DRX,fade,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,BLEED,omen,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,BLEED,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,BLEED,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,BLEED,killjoy,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,BLEED,fade,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,DetonatioN FocusMe,omen,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,DetonatioN FocusMe,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,DetonatioN FocusMe,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,DetonatioN FocusMe,killjoy,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,DetonatioN FocusMe,fade,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Paper Rex,omen,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Paper Rex,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Paper Rex,jett,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Paper Rex,cypher,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Paper Rex,skye,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Gen.G,omen,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Gen.G,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Gen.G,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Gen.G,killjoy,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,Gen.G,fade,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,Talon Esports,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,Talon Esports,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,Talon Esports,gekko,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,Talon Esports,skye,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,Talon Esports,harbor,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,T1,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,T1,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,T1,gekko,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,T1,skye,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,T1,harbor,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,BLEED,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,BLEED,cypher,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,BLEED,gekko,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,BLEED,breach,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,BLEED,brimstone,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,Paper Rex,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,Paper Rex,skye,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,Paper Rex,harbor,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,Paper Rex,brimstone,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,Paper Rex,reyna,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,Team Secret,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,Team Secret,jett,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,Team Secret,sova,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,Team Secret,kayo,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,Team Secret,cypher,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,Rex Regum Qeon,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,Rex Regum Qeon,jett,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,Rex Regum Qeon,sova,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,Rex Regum Qeon,cypher,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,Rex Regum Qeon,yoru,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,Team Secret,omen,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,Team Secret,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,Team Secret,fade,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,Team Secret,cypher,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,Team Secret,breach,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,Rex Regum Qeon,omen,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,Rex Regum Qeon,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,Rex Regum Qeon,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,Rex Regum Qeon,cypher,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,Rex Regum Qeon,skye,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,ZETA DIVISION,viper,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,ZETA DIVISION,omen,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,ZETA DIVISION,gekko,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,ZETA DIVISION,chamber,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,ZETA DIVISION,neon,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Gen.G,viper,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Gen.G,omen,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Gen.G,killjoy,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Gen.G,raze,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Gen.G,fade,2,0,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,T1,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,T1,omen,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,T1,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,T1,fade,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,T1,chamber,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,BLEED,viper,0,2,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,BLEED,omen,0,2,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,BLEED,killjoy,0,2,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,BLEED,raze,0,2,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,BLEED,fade,0,2,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Rex Regum Qeon,viper,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Rex Regum Qeon,omen,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Rex Regum Qeon,killjoy,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Rex Regum Qeon,raze,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Rex Regum Qeon,fade,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Paper Rex,omen,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Paper Rex,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Paper Rex,jett,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Paper Rex,cypher,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Paper Rex,skye,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Team Secret,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Team Secret,omen,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Team Secret,killjoy,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Team Secret,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Team Secret,fade,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Global Esports,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Global Esports,omen,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Global Esports,killjoy,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Global Esports,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Global Esports,fade,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Talon Esports,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Talon Esports,omen,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Talon Esports,killjoy,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Talon Esports,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,Talon Esports,fade,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,DetonatioN FocusMe,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,DetonatioN FocusMe,omen,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,DetonatioN FocusMe,killjoy,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,DetonatioN FocusMe,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,DetonatioN FocusMe,fade,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,ZETA DIVISION,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,ZETA DIVISION,killjoy,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,ZETA DIVISION,jett,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,ZETA DIVISION,kayo,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,ZETA DIVISION,gekko,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Gen.G,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Gen.G,omen,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Gen.G,killjoy,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Gen.G,kayo,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Gen.G,gekko,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,BLEED,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,BLEED,killjoy,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,BLEED,jett,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,BLEED,kayo,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,BLEED,gekko,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Rex Regum Qeon,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Rex Regum Qeon,killjoy,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Rex Regum Qeon,jett,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Rex Regum Qeon,sova,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Rex Regum Qeon,gekko,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Paper Rex,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Paper Rex,killjoy,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Paper Rex,jett,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Paper Rex,kayo,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Paper Rex,sage,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Team Secret,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Team Secret,killjoy,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Team Secret,jett,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Team Secret,kayo,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Team Secret,sova,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Global Esports,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Global Esports,killjoy,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Global Esports,jett,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Global Esports,gekko,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Global Esports,sage,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Talon Esports,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Talon Esports,killjoy,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Talon Esports,jett,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Talon Esports,kayo,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,Talon Esports,gekko,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,Gen.G,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,Gen.G,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,Gen.G,cypher,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,Gen.G,skye,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,Gen.G,brimstone,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,T1,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,T1,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,T1,gekko,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,T1,skye,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,T1,harbor,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,Paper Rex,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,Paper Rex,gekko,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,Paper Rex,skye,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,Paper Rex,harbor,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,Paper Rex,brimstone,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,DRX,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,DRX,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,DRX,kayo,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,DRX,cypher,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,DRX,brimstone,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,T1,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,T1,jett,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,T1,sova,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,T1,yoru,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,T1,harbor,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,DRX,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,DRX,jett,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,DRX,sova,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,DRX,cypher,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,DRX,yoru,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,Global Esports,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,Global Esports,jett,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,Global Esports,kayo,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,Global Esports,sova,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,Global Esports,cypher,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,Talon Esports,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,Talon Esports,jett,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,Talon Esports,sova,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,Talon Esports,cypher,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,Talon Esports,yoru,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,Gen.G,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,Gen.G,omen,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,Gen.G,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,Gen.G,jett,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,Gen.G,skye,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,T1,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,T1,omen,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,T1,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,T1,jett,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,T1,skye,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,DRX,viper,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,DRX,omen,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,DRX,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,DRX,cypher,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,DRX,skye,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,DetonatioN FocusMe,viper,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,DetonatioN FocusMe,omen,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,DetonatioN FocusMe,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,DetonatioN FocusMe,cypher,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,DetonatioN FocusMe,skye,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,ZETA DIVISION,viper,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,ZETA DIVISION,omen,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,ZETA DIVISION,sova,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,ZETA DIVISION,chamber,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,ZETA DIVISION,phoenix,1,1,2,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,BLEED,omen,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,BLEED,raze,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,BLEED,kayo,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,BLEED,gekko,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,BLEED,cypher,0,1,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,Team Secret,omen,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,Team Secret,raze,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,Team Secret,sova,1,0,1,2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,Team Secret,cypher,1,0,1,2024
